Acupuncture,Adult Counseling - Individual,Adult Counseling - Support Groups,"Comfort Items (e.g., quilts, blankets, hats, port protectors, heart pillows, etc.)","Complementary Therapies Workshops (e.g., Virtual Reiki Group, Mindfulness Meditation or Acupressure for Calm, etc.)","Dempsey Dogs (e.g., interacting with a therapy dog in the Center, or at a Dempsey Center sponsored event)",Dempsey Soup Program,"Educational Workshop (e.g., Communicating with Your Healthcare Team, Fatigue Factor, Managing Cancer Side Effects with Cannabis/CBD, etc.)","Expressive Arts Workshop (e.g., Writing Through Cancer, Music for Wellness, etc.)",Legacy & Life Reflections,Massage Therapy,Movement & Fitness Consult,Movement & Fitness Classes/Workshops,Nutrition Consult,Nutrition Classes/Workshops,Reiki Session,Wig & Headwear Consult,Youth & Family Counseling – Individual,Youth & Family Counseling – Group/Support Group,Youth & Family Classes/Workshops,,Hours of operation,Times of services,Physical location of services,Transportation,Reliable internet access or lack of reliable hardware,Accessibility of the Center’s services (a lack of comfort and/or ability with being able to access services),,Age
Acupuncture,,,,,,,,,,Massage Therapy,,,,,Reiki Session,,,,,,,,,,,,,65-74
,,,,,,,,,,Massage Therapy,,,,,,,,,,,,,,,,,,55-64
Acupuncture,,,,,,,,,,Massage Therapy,,Movement & Fitness Classes/Workshops,,,,,,,,,,,,,,,,75 or older
Acupuncture,,,,,,,,,,Massage Therapy,,,,,Reiki Session,,,,,,,,,,,,,55-64
,,,"Comfort Items (e.g., quilts, blankets, hats, port protectors, heart pillows, etc.)",,,,"Educational Workshop (e.g., Communicating with Your Healthcare Team, Fatigue Factor, Managing Cancer Side Effects with Cannabis/CBD, etc.)",,,,,,,,,Wig & Headwear Consult,,,,,,,,,,,,65-74
Acupuncture,,,,,,,,,,Massage Therapy,,,,,,,,,,,,,,,,,,65-74
,,,,,,,,,,,,,,,,,,Youth & Family Counseling – Group/Support Group,,,,,,,,,,65-74
,Adult Counseling - Individual,,,,,,,,,Massage Therapy,,Movement & Fitness Classes/Workshops,,,Reiki Session,,,,,,,,,,,,,55-64
,,,,,,,,,,Massage Therapy,,,,,Reiki Session,,,,,,,,Physical location of services,,,Accessibility of the Center’s services (a lack of comfort and/or ability with being able to access services),,65-74
,,,,,,,,,,Massage Therapy,,,,,Reiki Session,,,,,,,,,,,,,65-74
Acupuncture,,,,,,Dempsey Soup Program,,,,Massage Therapy,,,,Nutrition Classes/Workshops,Reiki Session,,,,,,,Times of services,,,,,,55-64
